# This file contains terms and their lemma forms as determined by the POS
# tagger TreeTagger. DIAsDEM Workbench 2.1 can only process single-token
# terms (e.g., 'ist') which do not contain blank spaces. Terms are not
# looked up case-sensitively. Hence, both terms 'ist' and 'IST' will be
# mapped onto the grammatical root 'sein'. Each line contains exactly one
# term and its lemma form separated by exactly one tab stop. This file was
# created by the DIAsDEM task Actions -> Prepare Data Set -> Lemmatize
# Text Units using the advanced option 'Create New Known Lemma Forms File'.
Gläubiger	Gläubiger
Anemone	Anemone
Wintergärten	Wintergarten
Produktionsprozeßentwicklung	Produktionsprozeßentwicklung
Herczeg	Herczeg
Geltow	Geltow
Mann	Mann
Es	es
Cotton	Cotton
Fort	Fort
besteht	bestehen
Teerbau	Teerbau
Mehlsdorf	Mehlsdorf
Person	Person
Wirtschaftsbilanzen	Wirtschaftsbilanz
Maurer	Maurer
Pflegedienst	Pflegedienst
Tonny	Tonny
Assemblierung	Assemblierung
Projektentwicklungs	Projektentwicklungs
Küchenhoff	Küchenhoff
Salaten	Salat
Nebengewerbes	Nebengewerbes
Lagerräumen	Lagerräumen
Bürovermietung	Bürovermietung
Einzelvertretung	Einzelvertretung
Deutsch	deutsch
Naumann	Naumann
Friesack	Friesack
Bestimmung	Bestimmung
Technik	Technik
Fläming	Fläming
Firmensitz	Firmensitz
Apparate	Apparat
GVV	GVV
gleichzeitiger	gleichzeitig
Abrechnung	Abrechnung
ETW	ETW
Schomers	Schomers
Ottmar	Ottmar
Kurt	Kurt
Geschäftsanteilen	Geschäftsanteilen
Günther	Günther
genommen	nehmen
Bauwerkverträgen	Bauwerkverträgen
Arbeiten	Arbeiten
Kraus	Kraus
Lotto	Lotto
mehrmals	mehrmals
Name	Name
Mete	Mete
Abfüllen	Abfüllen
sondern	sondern
fremder	fremd
Grüger	Grüger
Eigenblutkonserven	Eigenblutkonserve
Bauwerksanalysen	Bauwerksanalysen
Sinne	Sinn
derartigen	derartig
Sonnenschutzartikeln	Sonnenschutzartikeln
Rohbau	Rohbau
Baugeräten	Baugerät
Ingolf	Ingolf
WORKSHOPS	Workshop
Diese	dies
Raumes	Raumes
außerordentliche	außerordentlich
Petersen	Petersen
Dementsprechend	dementsprechend
Fachfirmen	Fachfirmen
Zusatzaggregaten	Zusatzaggregaten
Geldanlagen	Geldanlage
Ausgabe	Ausgabe
BauKITT	BauKITT
Aufsichtsrats	Aufsichtsrat
eigenem	eigen
v.	von
Recep	Recep
Innenausbaus	Innenausbau
Nutzung	Nutzung
Nutzfahrzeugen	Nutzfahrzeug
ihrer	ihr
Onken	Onken
Luxembourg	Luxembourg
Birgit	Birgit
Kontrolle	Kontrolle
Mosaiklegerarbeiten	Mosaiklegerarbeiten
Lagergeschäfte	Lagergeschäfte
Fertigungsbetriebe	Fertigungsbetrieb
Erzsebet	Erzsebet
Baustoffrecyclingmaterial	Baustoffrecyclingmaterial
Einzugsgebiet	Einzugsgebiet
Köris	Köris
Konzession	Konzession
Bedienungspersonal	Bedienungspersonal
Subunternehmen	Subunternehmen
Bautenschuzarbeiten	Bautenschuzarbeiten
Randolf	Randolf
Rechtsträgers	Rechtsträger
Transportleistungen	Transportleistung
Erbfall	Erbfall
Neuanlage	Neuanlage
Kofinanzierungen	Kofinanzierungen
polnischem	polnisch
Hoevedorp	Hoevedorp
Flughäfen	Flughafen
H	H
Touristenservice	Touristenservice
Smuda	Smuda
Analyse	Analyse
Gert	Gert
Behnecke	Behnecke
Joe	Joe
Betonpumpen	Betonpumpen
erforderliche	erforderlich
Niyazi	Niyazi
Euro	Euro
Rüdiger	Rüdiger
h.	heißen
HOAI	HOAI
Ziffern	Ziffer
Bensheim	Bensheim
Buchberg	Buchberg
Gartenkleinmöbel	Gartenkleinmöbel
geschlossene	geschlossen
Handelskontakten	Handelskontakten
Y	Y
Textilien	Textilie
Dachbegrünungen	Dachbegrünungen
Haftung	Haftung
Stadtverwaltung	Stadtverwaltung
tennisspezifischem	tennisspezifischem
Tolls	Tolls
Vermögensbildung	Vermögensbildung
Funktionsräumen	Funktionsräumen
Accessoires	Accessoire
Pflegebedürftige	Pflegebedürftige
Vorbereitung	Vorbereitung
Sicherheitsleistung	Sicherheitsleistung
Mohr	Mohr
Alfred	Alfred
Lackierer	Lackierer
Dämmstoffen	Dämmstoff
Dienstleistungs	Dienstleistungs
Möthlitz	Möthlitz
Gerüstbauarbeiten	Gerüstbauarbeiten
Ländern	Land
Hausmeisterdiensten	Hausmeisterdiensten
Borkowski	Borkowski
Sitzes	Sitz
entwickelten	entwickelt
Souci	Souci
Bestückung	Bestückung
Hotel	Hotel
Zimmererarbeiten	Zimmererarbeiten
Hauselementen	Hauselementen
Werbeagentur	Werbeagentur
Herausgabe	Herausgabe
tritt	treten
Sticha	Sticha
Khisro	Khisro
Butzow	Butzow
CD	CD
Baubranche	Baubranche
Afrika	Afrika
Ines	Ines
Informatiker	Informatiker
Abbrucharbeiten	Abbrucharbeiten
Bohrpfahl	Bohrpfahl
Anmietung	Anmietung
konzipierte	konzipiert
